turn,text
13,"geen Engel , onder ons , zoo zoet een ' adem hebben , Gelijck de frissche geest , die hier de mensch bejegenen , het aengezicht verquicken , en alles strelen , en zegenen : dan zwellen de boezem de landouw ' van kruit , en kleur , en knop , en telgh , en bloem , en allerhanden geur . de dan ververschtze 's nacht . het rijzen en het daelen Der zonne weten zijn maet , en matight zoo haer straelen Naer eisch van elcke plant , dat allerhande groen en vrucht vinden wort , in eenerley saizoen ."
14,nu maelme de gedaente en het wezen van de mensch .
15,"wie zullen ons engelsdom voor het menschdom willen wenschẽ , wanneer men schepzel zien , die het al te boven gaen , en onder wie gezagh al andre dier staen . ick zagh de ommegangh van hondertduizent dier , die op het aertrijck treen , of in de wolcken zwieren , of zwemmen in de stroom , zoo ieder zijn gewent , en leven scheppen in zijn byzonder element . Wie sou een ieder aert en eigenschap raemen als Adam ! want hy gafze op eene ry haer naemen . de berghleeuw quispelen hem aen met zijn staert , en loegh de meester toe . de tiger ley zijn ' aert voor zijn koning voet af . de lantstier boogh zijn ' horen , en d'olifant zijn ' snuit . de beer vergeten zijn ' toren . griffoen en adelaer quam luistren naer die man , Oock draeck , en Behemoth , en zelf leviatan . noch zwygh ick welk een lof de mensch wort toezingen en toegequinckeleren van het lustpriëel , vol tong ; Terwyl de winnen in 't loof , de beeck langs d'oever spelen , en ruischt op een Muzyck , dat nimmer 't hart vervelen hebben zich Apollion in zynen last gequeeten , Hy hebben ons hemelrijck in Adams Rijck vergeeten ."
16,"wat duncken u van het paer , dat ghy beneden zaeght ?"
17,"geen schepsel hebben om hoog mijn oogen zoo behaeght als deze twee om laegh . wie kunnen zoo geestigh strengelen het lichaem , en de ziel , en scheppen dubbel Engelen , uit klaiaerde , en uit been . het lichaem , schoon van lezen , Getuight de Scheppers kunst , die blinckt in het aenschijn veel , de spiegel van het gemoeden . wat liden my kunnen verbazen ; Ick zagh het beelt de ziel in het aengezicht blazen . bezit het lijf iet schoon , dat vinen men hier by een . een godtheit geven haer ' glans door zijn mensch ooog heen . de redelijcke ziel komen uit zijn troni zwieren . Hy heffen , terwijl de stom en redenlooze dier Naer hunne voet zien , alleen en trots het hooft te hemel op naer Godt , zijn ' schepper , hoogh geloven ."
18,Hy loven hem niet vergeefs voor zoo veel rycke geven .
19,"Hy heerscht , gelijck een godt , om wien het al moeten slaaf . d'onzichtbre ziel bestaet uit geest , en niet uit stof . Z'is heel in ieder lidt . het brein verstreckt haer hof . Zy leven in eeuwigheit , en vrezen noch roest , noch schennis . z'is onbegrypelijck . voorzichtigheit , en kennis , en deught , en vryen willen bezitze in eygendom . voor haar majesteit staen al geest stom . de wyde weerellen zullen eer lang van mensch kriel . Zy wachten , uit luttel zaets , een rycken oegst van ziel ; en hierom huwen gden de man aen zyn mannin ."
20,"wat duncken u van zyn ribbe , en lief gemalin ?"
21,"ick decken mijn gezicht en ooog met mijn vleugel , om mijn gedacht en genegentheên te teugelen , zoo dra zy my gemoete als Adam met de hant Haer leide door het groen , by wijlen hielen hy stant , Beschoudeze overzy , en onder dat beloncken beginnen een heiligh vier zijn zuivre borst t'ontvoncken : dan kussen hy zijn bruit , en zy de bruidegom : dan gaan de bruiloft in , met eenen wellekom en brant van liefde , niet te melden , maer te gissen ; een hooger zaligheit , die d'engelen noch missen . hoe arm zijn eenigheit ! wy kennen geen gespan Van tweederhande kunne , een jongkvrouw , en een ' man . helaes ! wy zijn misdelen : wy weeten van geen trouwen , van gade of gading , in een ' hemel , zonder vrouw ."
22,Zoo wort ' er met de tijden een weerelt aengeteelt ?
23,"door een genot van 't schoon , in zijn mensch brein gebelen , en ingedruckt met kracht van d'opgespanne zin . dat houden dit paer verknocht . hun leven zijn beminnen , en wedermin met een ' onderling lusten , Onendelijck gelescht , en nimmer uitgebluscht ."
24,nu pasme deze bruit naer 't leven af te maelen .
25,"dit eischt natuurs penseel , geen verf , maer zonnestraelen . de man en vrou zijn bey volschaap , evenschoon , van top tot teen . met recht spannen Adam wel de kroon , door kloeckheit van gedaente , en majesteit van het wezen , als een te heerschappy de aerdtrijcx uitlezen : maer al wat Eva hebben vernoeght haer bruigom eisch ; Der lid tederheit , een zacht vel en vleisch , een vriendelijcker verf , aenminnigheit de ooog , een minnelijcke mont , een uitspraeck , wie vermooog Bestaet in eedler klanck ; twee bron van yvoor , en wat men best verzwyge , eer dit een Geest bekoor ' . bejegent Engelen , hoe schoonze uw oogh behaeghden ; het zijn wanschapenheên by 't morgenlicht de maeghden ."
26,het schijnen ghy blaeckt van min om het vrouwelijcke dier .
27,"ick hebben mijn slaghveêr in dat aengenaem vier gezengen . het vielme zwaer van onder op te stijgen , te roeien , om de top van Engleburgh te krijgen . ick scheide , doch met pijn , en zagh wel driewerf om . nu blincken geen Serafijn , in het hemelsch heilighdom , als deze , in 't hangen hair , een goude nis van straelen , die schoon gewateren van den hoofd nederdaelen , en vloejen om de rugh . zoo komtze , als uit een licht , te voorschijn , en verheught de dagh met haer gezicht . Laet perle en perlemoer u zuiverheit beloven ; Haer blanckheit gaet de perle en perlemoer te boven ."
28,"wat baet al's mensch roem , indien zijn schoonheit smelten , en endelijck verwelckt , gelijck een bloem op 't veld ?"
29,"Zoo lang die hof beneên niet op houde ooft te geven , zullen dit gezalight paer by zulck een ' appel leven , die daer in 't midden groeien , bevochtight van den stroom , Waer by de wortel leven . dees wonderbaere boom Wort 's leven boom genoemen . zijn aert zijn onbederflijck . hier door genieten de mensch het eeuwigh en onsterflijck , en wort de Engelen , zijn ' broeder , gelijck , ja overtreffen ze in het einden ; en zullen zijn maght en Rijck Verbreiden overal . wie kunnen zijn vleugel korten ? geen Engel hebben de maght zijn wijzen uit te storten in duizent duizend , in een oneindigh tal . nu overreken eens wat hier uit worden zullen ."
30,de mensch zijn maghtigh dus ons over het hoven te wassen .
31,"zijn wasdom zullen ons haest verschricken , en verrassen . al duickt zijn heerschappy nu laeger dan de maen ; al zijn die maght bepaelen ; hy zullen al hooger gaen , om zijn stoel in top de hemel te zetten . Zoo Godt dit niet beletten , hoe konnen wy het beletten ? want God bezinnen den mensch , en scheppen het al om hem ."
32,"wat horen ick ? een bazuin ? gewis hier willen een stem op volgen : zien eens uit , terwijlw hier verbeien ."
33,"d'aertsengel Gabriël , gevolght van 's hemels rei , genaeckt in zijn hooghst naem , om uit de hoogen troon T'ontvouwen , als herout , het geen hem wieren geboôn ."
34,ons lust te hoor wat d'aertsengel zullen gebied .
35,"hoort toe , ghy Engelen : horen toe , ghy hemellieden . de hooghste Goetheit , uit wie boezem alles vloeien wat goet , wat heiligh zijn ; die nimmer wort vermoeien door weldoen , noch verarmen van haer genadeschatten , tot noch met geen begrijpen de schepsel te vatten ; dees goetheit scheppen de mensch haer eigen beelt gelijck , Oock d'englen , op dat zy te zamen het eeuwigh Rijck het noit begrijpen goet , na ' et vierigh onderhouden Der opleiden wet , met Godt bezitten zullen . Zy boud het wonderlijck en zienelijck Heelal Der weerellen Gode en oock de mensche te geval ; op dat hy in dit hof zullen heerschen , en vermeeren ; met al zijn afkomst hem bekennen , dienen , eeren ; en stijgen , langs de trap de weerellen , in de trans Van het ongeschapen licht , de zaligenden glans . al schijnen het Geestendom al andren t'overtreffen ; Godt sluiten van eeuwigheit het menschdom te verheffen , oock boven het Engelsdom , en op te voeren tot een klaerheit en een licht , dat niet verschillen van Godt . Ghy zullen het eeuwigh Woort , bekleet met been en aar , Gezalft tot Heer , en hooft , en rechter , al de schaeren Der Geesten , Engelen en mensch te gelijck , zien recht , uit zijn ' troon , en onbeschaduwt Rijck ; Daer staet de stoel alreê geheilight in het midden . dat al d'engelen hem passen aen te bidden , Zoo ras hy innery , wien het menschelijck gestallen , oock boven ons natuur verheerelijckt , gevalt . dan schijnen de heldre vlam de Serafijnen duister , By zijn mensch licht , en glans en goddelijcken luisteren . genade doven natuur en al haer glansen uit . dit zijn nootlot : dit zijn een onherroepelijck besluiten ."
36,"al wat de hemel stemmen , zullen het hemelsch heir behagen ."
37,"zoo passen u trou in Godts en zijn mensch dienst te dragen : Naerdien de godtheit zelf de mensch zoo beminnen . wie Adam eren , het hart van Adams vader winnen . de mensch en engel , beide uit eenen stam gesprooten , zijn medebroeder ; uitgekore lotgenooten , Des Allerhooghsten zoon en erven , zonder smet . een ongedeeld wil en liefde zy uw wet . Ghy weten hoe het Engelsdom moeten onderscheiden worden in dryderhande ry , een negenvoudig orde ; de hooghs in Serafijn , en Cherubijn , en troon , die zitten in Godts Raet , en stercken zijn geboôn . de middenry bestaet uit Heerschappyen , kracht , en maght , die op het woort van Godts Geheimraet wachten , tot zijn mensch nut , en heil , en hulp in 't algemeen . de drie en laeghste ry , gewijt uit Vorstenheên , en groote Aertsengelen , en Engelen , moeten duicken voor het woort de middelrye , en laten zich gebruicken , beneden het gewelf van zuiver kristalijn , in hun byzondren last , zoo wijten het gesterrent schijn ' wanneer de weerelt koom ' zich ver uit te spreiden , Wort elck van deze ry in zijn gewest bescheiden , of weten zijn eige stadt , en huis , en wat persoon zijn zorgh bevelen blijven , te eere van Godts kroon . getrouwen , gaet dan heene , onsterffelijcke god , gehoorzaemen Lucifer , verknocht aen Godts bieden . bevorderen 's hemels eer , in het menschelijck geslacht , een ieder in zijn wijck , een ieder op zijn wachten . Laet zommigen voor Godt de schael vol wieroock branden , en brengen voor Godts troon de mensch offerhanden , en wensch , en gebeên , en zingen zijn Godtheits lof , dat zich de galm verspreie in het eeuwigh juichen hof . een ander draey ' gestarnte en ronde hemelklooten , of zett ' de hemel op , of houden de lucht geslooten met wolcken , om de bergh te zegenen om laegh , met eenen zonneschijn , of versche regenvlaegh Van manne en honighdau , daer gden wort aengebeden , door d'eerste onnozelheit , de burgery van Eden . wie door de lucht , en het vier , en aerde , en water rent , die maetig op zijn pas een ieder element , Naer Adams wensch , of legg ' de blixemstrael aen band , of breideel de storm , of breeck ' de zee op strand . een ander sla de treen des mensch gade op 't veld . de godtheit hebben zijn hair tot op een hair getelt . men draegh ' hem op de hant , dat hy zijn voet niet stoote . Wort iemant , als gezant , zenden van een ' Groote Aen Adam , zijn aertrijcks Vorst , dat hy zijn ' last verrichten ' . zoo luiden mijn last , waer aen de godtheit u verplichten ."
38,"wie zijn het , die zoo hoogh zitten , Zoo diep in het grondelooze licht , Van tijt noch eeuwigheit gemeeten , noch rond , zonder tegenwight , By zich bestaet , geen steun van buiten Ontleent , maer op zich zelven rust , en in zijn wezen kunnen besluit wat om en in hem , onbewust Van wancken , draeit , en wort drijven , om het een en eenigh middelpunt ; Der zon zon , de geest , het leven ; de ziel van alles wat ghy kunnen Bevroên , of nimmermeer bevroeden ; het hart , de bronaêr , d'oceaen en oirsprong van zoo veele goed als uit hem vloeien , en bestaen By zijn genade , en alvermooog , en wijsheit , die hun het wezen schonck uit niet , eer dit in top voltoogen Palais , de heemlen hemel , blonck ; Daer wy met vleuglen d'ooog decken , voor al glansen majesteit ; Terwijlwe 's hemels lofgalm wecken , en vallen , uit eerbiedigheit en vreeze , in zwijm op het aenzicht neder ? wie zijn het ? noemen , beschrijven ons hem , met eene Serafijne veder . of schorten het aen begrijpen en stem ; dat zijn Godt . Oneindigh eeuwigh wezen van al ding , dat wezen hebben , vergeven het ons ; ô noit volprezen van al wat leven , of niet en leven , Noit uitspreken , noch te spreecken , vergeven het ons , en schel ons quijt dat geen verbeelding , tong , noch teken u melden kunnen . ghy waert , ghy zijn , Ghy blijven de zelve . al Englekennis en uitspraeck , zwack , en onbequaem , zijn maer ontheiliging , en schennis : want ieder draeght zijn ' eigen naem , behalve ghy . wie kunnen u noemen By uw naem ? wie wort gewijt tot uw Orakel ? wie durven roemen ? Ghy zijn alleen dan die ghy zijn , u zelf bekennen en niemant nader . u zulx te kennen , als ghy waert Der eeuwigheid glans en ader ; Wien zijn dat licht geopenbaert ? Wien zijn de glans glans verscheenen ? dat zien zijn noch een hooger heil dan wy van uw genade ontleenen ; dat overschrijt het perck en peil van ons vermogen . wy verouden in ons duur ; ghy nimmermeer . uw wezen moeten ons onderhouden . verheffen de godtheit : zingen haer eer . Heiligh , heiligh , noch eens heiligh , driemael heiligh : eer zy Godt . buiten Godt zijn het nergens veiigh . Heiligh zijn het hoogh gebden . zijn geheimenis zy bondigh : men aenbiden zijn bevel . dat men overal verkondigh ' wat de trouw Gabriël ons met zijn bazuin quam leeren . Laet ons Godt in Adam eeren . al wat gden behaeght , zijn wel . het twee bedryf ."
39,"GHy snel geest , hout nu stant met ons wagen : al hoogh genoegh in top Godts Morgenstar dragegen al hoogh genoegh gevoeren : het zijn tijt dat Lucifer nu duicke , voor de komst van deze dubble star die van beneden rijst , en zoeckt de wegh naer boven , om met een ' aertsch glans de hemel te verdooven . borduurt geen kroonen veel in lucifer gewaet ; Vergult zijn voorhooft niet met eenen dageraet Van morgenstarre en strael . waer voor d'aertsenglen nijgen ; een andre klaerheien komen in 't licht de godtheit stijgen , en schijnen ons glansen doot ; gelijck de zon , by daegh , de star doven , voor het oogh de schepsel , om laegh . het zijn nacht met Engelen , en al hemelzon : de menschen hebben 't hart de Oppersten gewinnen , in 't nieuw paradijs : de mensch zijn 's hemels vrient : ons slaverny gaet in . gaet heene , vieren , en dienen , en eren dit nieuw geslacht , als onderdaene knaap : de mensch zijn om Godt , en wy om hen scheppen . het zijn tijt dat zijn Engels neck hun voet onderschraegh ' , dat ieder op hun passe , en op de hand draegh ' , of op de vleugel voere , in d'allerhooghste troonen : ons erfnis komen hun , als uitverkore zoonen . ons eerstgeboorte leit nu achter , in dit Rijck . de zoon de zest daghs , de vader zoo gelijck geschapen , strijcken de kroon . met recht zijn hem geven de groote staf , waer voor al eerstgeboorn beven , en sidderen . hier gelen geen tegenspraeck : ghy horen wat Gabriël bazuinen voor 's hemels goude poort ."
40,"o Stedehouder van Godts opperheerschappyen , Wy hoor het al te wel , en midden in het verblyen Der Reien , eenen klanck , die het eeuwigh feest bedroeven . de last van Gabriël leit klaer : dat woort behoeven geen cherubijnetong om ons de zin t'ontvouwen . men hoeven Apollion naer d'onderste landouwen niet af te vaerdigen , om na gaan te slaen wat Adam al bezit , zoo laegh beneên de maen : het blijckt hoe heerlijck hem de godtheit begenadight , Oock door een lijfwacht van veel duizend verdadight , en hanthaven in zijn ' staet en aenzien , min noch veel of hy gehuldight waer tot al geest heer . de poort de hemels staet voor Adams afkomst open . een aerdtworm , uit een ' klomp van aerde en klay gekroopen , Braveert uw mogentheit . ghy zullen het menschdom zien Zoo verre boven u , en , vallen op uw knien , met nederslaghtigheit en neêrgeslagene oogen , aenbidden zijn maght , en hoogheit , en vermogen . het zullen , verheerelijckt van d'allerhooghste maght , zich zetten aen de zy de godtheit , in zijn kracht , en heerschen , lang en noch wijd dan de rond Der entlooze eeuwigheit , aen tijt noch plaets binden , om Godt , haer middelpunt en omloop , te gelijck zich draeien , zonder rust . wat hoeven men klaerder blijck dat gden de mensch willen verheffen , ons verneeren ; Wy zijn te dienstbaerheit , de mensch tot regeeren geboren . legh voortaen de scepter uit de hant : een laeger zijn ' er , die de kroon daer boven spannen , of spannen zullen eer lang . legh af u morgenstraelen , en hulsel voor dees zon , of pas haer in te haelen met zang , en triomf , en goddelijck cieraet . Wy zien de hemel haest veranderen van staet . de star zien vast uit , en wijcken met verlangen , om met eerbiedigheit dit nieuw licht t'ontfangen ."
41,"dat zullen ick keeren , zijn het ander in mijn maght ."
42,"daer horen ick Lucifer , en zien hem , die de nacht van 's hemels aengezicht verdrijven kunnen , en jaegen . waer hy verschijnen , beginnen het heerlijck op te daegen . zijn wassend licht , het een en allernaeste aen Godt , verminderen nimmermeer . zijn woort zijn het hoogh gebden ; zijn wil en wenck een weten , van niemant t'overtreden . de godtheit wort in hem gedienen , en aengebed , bewieroockt , en gevieren : en zullen een laeger stem nu dondren uit Godts troon ? gebied boven hem ? zullen Godt een ' jong zoon , geteelt uit Adams lende , Verheffen boven hem ? dat waer het erfrecht schenden van het alleroutste kinen , en zijn stadthoudery Ontluisteren . naest Godt zijn niemant groot als ghy . de godtheit zetten u eens in glorie aen haer voet : geen mensch verstoute zich ons orde om te wroeten , en dit bezweren recht t'ontwyden tegen reên ; of al de hemel raeckt in 't harnas tegen een ."
43,"Ghy vat het recht . het passen rechtschape heerschappyen Geensins haer wettigheit zoo los te laten glijen ; want d'oppermaght zijn d'eerste aen haere wet verplichten ; Verandren voeght haer weinig . zijn ick een zoon van 't licht , een heerscher over 't licht , ick zullen mijn recht bewaeren : Ick zwichten voor geen gewelt , noch aertsgeweldenaeren . Laet zwichten al wat willen : ick wijck niet eenen voet . hier zijn mijn vaderlant . noch ramp , noch tegenspoet , noch vloecken zullen ons vervaeren , noch betoomen : Wy sul sneven , of die hoeck te boven komen . zijn het nootlot dat ick vall ' , van eere en staet beroven ; Laet vallen , als ick vall ' met deze kroone op het hoven , die scepter in de vuist , die eersleip van vertrouden , en zoo veel duizend als ons zyde houden dat vallen streckt tot eer , en onverwelckbren lof : en liever d'eerste Vorst in eenigh laeger hof , dan in het gezalight licht de twee , of noch een minder . Zoo troost ick my de kans , en vrezen nu leet noch hinder . maer hier komen 's hemels tolck en wackere Herout , met Godts gheheimnis boeck , zijn zorge toebetrout . het waer niet ongeraên hem na t'ondervragen . ick willen hem tegen treên , en aftreên van de wagen ."
44,"HEer Stedehouder , hoe ? waer heene leit de reis ?"
45,"naer u , Herout en tolck van het hemelsch palais ."
46,My dunken ick zullen uw wit aen het voorhoven kunnen gissen .
47,"Ghy die de duistren gront van Godts geheimenis door 't licht van uw vernuft ontdeckt , en openbaert , Verlichtme met uw komst ."
48,wat zijn het dat u bezwaert ?
49,"het raetslot en besluit de godtheit , die de waerde Des hemels laeger schatten dan 't element de aerde , de hemel onderdrucken ; het aertrijck uit een ' poel door al star voeren ; het menschdom op de stoel Der Englen zetten ; beroven hun 't recht de een geven ; Gebietze om zijn mensch nut te zweten , en te slaven . het geestendom , gewijt tot amptenaers van 't hof Des hemels , zullen voortaen een ' aertworm , uit het stof Gekroopen , en gegroeit , te dienst staen , op hem passen , en , in getal en staet , ons over het hoven zien wassen ? waer toe vernederen ons d'oneindig Gena Zoo vroegh ? wat Engel passen op zijn dienst te spa ? en hoe waert mooghlijck dat de godtheit zich zullen mengelen met mensch ? de natuur de uitgekorene Engelen Voorbyslaen , en zijn ' aert en wezen storten in een lichaem ? d'eeuwigheit verknoopen aen 't begin ? het hooghs aen ' tallerlaegst ? de Schepper aen het scheppen ? wie kunnen uit dit besluiten de zin te zamen raepen ? zullen het eeuwigh schijnen licht nu schuil gaen in de nacht Der weerellen ? zullen wy , stadthouder van Godts maght , voor dit geleent gezagh , een wulpsch vermogen , knielen ? ontelbre lichaemlooze en godtgelijcke ziel zien buigen voor een grof en zacken element , Daer Godt zijn majesteit en wezen inneprent ? Wy geest zijn te grof om dit geheim te vatten . Ghy , die het slot bewaert van Godts geheimnisschatten , Ontvou ons , magh het zijn , dit donckere geschil , uit uw gezegelt boeck : ontvou ons 's hemels wil ."
50,"Zoo veel het geoorloffen zy te melden uit Godts blad . veel weeten kunnen altijt niet vordren , zomtijts schaden . de Hooghste ontdeckt ons slechts wat by raden vint . het al te stercke licht schijnen serafijn blint . de zuivre Wijsheyt willen te deel ' haer ' willen bezegelen , te deele ontsluiten . zich te schicken en te regelen naer heur stellen wet , dat voeght de onderzaet , die aen zijn meester last en willen binden staet . de reden en het wit waerom wy namaels wachten , na ' et overleven van een tafel erfgeslacht , Den Heer , die , Godt en mensch geworden in de tijt , de scepter voeren zullen , en breet en overwijt de star , aerde , en zee , en al wat lezen regeeren , Verberght de hemel u : de tijt willen d'oirzaeck leeren . gehoorzaemen Godts bazuin : ghy hebben zijn ' willen gehoort ."
51,"Zoo zullen een vreemdeling , een worm , het hooghs woort hier boven voeren , en een ingeboren zwichten voor vreemd Heerschappy ? de mensch een ' zetel stichten , Zoo verre boven Godt ?"
52,"genoegh u met uw lot , en staet en waerdigheit , u toegeleien van Godt . Hy heffen u in de top van al hierarchij : doch niet om iemants glans en opgang te benijen . de wederspannigheit verpletten haer hoven en kroon , Indienze wederstreef de oppersten geboôn . uw aenzien scheppen zijn licht alleen uit Godts vermogen ."
53,ick hebben tot noch mijn kroon voor Godt alleen gebooog .
54,"Zoo buighze oock voor 't besluit de godtheit , die het al wat wezen hebben uit niet , of namaels wezen zullen , Bestiert tot zeker einden , hoewel wy het niet beseffen ."
55,"Den mensch in het heiligh licht de godtheit te verheffen , Den mensch , zoo hoogh met Godt vergodlijckt in zijn troon , te zien het wieroockvat toezwaeien , op de toon Van duizentduizenden eenstemmig kooraelen ; verdoven de majesteit en diamante straelen van ons morgenstar , die straelt nu lang niet ; en 's hemels blyschap slaet aen het quijnen van verdriet ."
56,"de zaligheit bestaet in een gerust genoegen , in 't stem met Godts willen , en zich naer hem te voegen ."
57,"de majesteit van Godt en godtheit wort verklenen , Indienze haer natuur met zijn mensch bloet verenen , Vereenight , en verbint . wy geest grens na Aen Godt , en zijn natuur , als zoon van eenen vader Geteelt , en hem gelijck , indien het geoorloffen zijn te stellen tegen een deze ongelijckenis van een oneindigheit en het eindigh ; de bepaelde By d'onbepaelde maght , indien de zon verdwaelde uit haere streecke , en zich bekleeën met een ' smoock , om al de aerdtkloot toe te lichten , uit een roock , en zwarte damp ; hoe zullen de vreught de weerellen sterven ! wat zullen het aertsch geslacht al glans en leven derven ! de zon al majesteits ontbeeren , in haer ' loop ! ick zaegh de hemel blint , de star over hoop . wanorden orde en geschicktheit overrompelen , indien de bron van 't licht haer klaerheit quam te dompelen in 't graf van een moerasch . verschoonme , ô Gabriël , indien ick uw bazuin , de wet van het hoogh bevel , een luttel wederstreve , of schijn te wederstreven . Wy yvren voor Godts eere : om Godt zijn recht te geven , Verstout ick my , en dwael dus ver buiten 't spoor van mijn gehoorzaemheit ."
58,"ghy yvert krachtigh voor de glori van Godts naem ; doch zonder t'overwegen dat gden het punt , waer in zijn hoogheit zijn liggen , veel goed kennen dan wy ; die staeck uw onderzoeck . de menschgeworden Godt zullen dit geheimnisboeck , met zeven zegelen sluiten , zelf ontsluiten . nu zmaecktghe niet het pit , maer zien de schors van buiten . dan zullen men d'oirzaeck zien , de reden , de waerom dan zijn verholentheên , en diep in het heilighdom Der heilighdom gaen . nu voeght het ons te duicken , en deze dageraet t'aenbidden , te gebruicken met danckbaerheit , tot dat de kennis in haer kracht de twijffeling verdrijven gelijck de zon de nacht . nu leeren wy allengs godts wijsheit tegenstappen , Eerbiedigh , en beschromen . zy openbaert by trappen het licht de wetenschappe en kennisse , en begeren dat ieder , op zijn wachten , zich onder haer verneêrt . Heer Stedehouder , rust , en hanthaef d'eerste ons wet : Ick gaan , daer gden my zent ."
59,men zal'er scherp op letten :
60,"de Stedehouder horen waer dit plakkaet op draeit , dat Gabriëls bazuin zoo trots hebben uitgekraeit . Hy geven Godts ooghmerck u , oock scherp genoegh , te ruicken . men zullen uw mogentheit aldus de vleugel snuicken ."
61,"Zoo licht niet : neen gewis , men kan'er in voorzien . geen minder droome hier zijn ' meerder te gebiên ."
62,Hy dreight weêrspannigheit haer hoven en kroon te pletten .
63,"nu zweren ick by mijn kroon het al op een te zetten , te heffen mijn stoel in al heemlen trans , door al kreitzen heene , en starrelichten glans . Der heemlen hemel zullen my een palais verstrecken , de regenboogh een troon ; het gestarrente bedecken mijn zaelen ; d'aertkloot blijven mijn steun , en voetschabel . ick willen op een karos van wolcken , hoogh en snel gevoeren door lucht en licht , met blixemstrael en donder , verbrijzelen tot stof wat boven , of van onder zich tegen ons verzet , alwaer het de Veltheer zelf ; ja eerwe zwichten , zullen dit hemelschblaeu gewelf , Zoo trots , zoo vast bouten , met zijn doorluchte booog te barst springen , en verstuiven voor ons ooog ; het gerabraeckt aertrijck zien als een wanschapen romp ; dit wonderlijck Heelal in zijn mengelklomp , en willen woestheit weêr verwarren , en verkeeren . Laet zien wie Lucifer durftrotsen , en braveeren . men daege Apollion ."
64,hier treet hy voor de dagh .
65,"o Stedehouder van Godts onbepaelen gezagh , Orakel , in de Raet de onderdaene god , Ick offer u mijn ' dienst , en wachten op uw bieden . wat eischt de majesteit van haar onderdaen ?"
