turn,text
11,kunnen deez ' Oranje noch citroen u niet verluchten ?
12,"het lot zijn my te wrang , die haten ik wrang vrucht ."
13,slauw gezicht eens op dit roosryk Lustprieel .
14,"ik wraken de roozen , want ik vindze scherp van steel ."
15,"verkoel u by deez ' bron , zo zullen gy aassem haalen ."
16,"kunnen ik het Water , dat uit deze bron komen straalen , en al de beek , die in Kreons oord zyn , door kracht van toov'ren , veranderen in fenyn , ik zullen ze in zwelg , en , al zullen ik zelver gruuwen , prins Jazon en zyn bruid verwoed in 't aanzicht spuuwen , en barste ik aan 't vergif , zo sterven ik zegenryk ."
17,men wreken zich allerbest door 't zien van zijn vyands lyk . maar uw toverkunst beginnen allengs te flaauwen .
18,"hebben ik de stier , met gespleete koop're klaauw , met yz're hoorene , en gloeijend ingewand , in het Juk gespannen , en het veld langs Facis strand , al druipende van zweet , in wederwil , doen ploegen , ik zullen hem licht , om myn wraaklust te vernoegen , voor my doen zwichten , dan die dier groot van kracht . al waar hy roem op draagd hebben hy door my volbragt . hebben hy het land bezaaien met scherp draake tand , daar krygs-liên , heten op moord , met sabel in hun hand en heel in het harrenas uitwiessen tot zyn leed , ik hebben die menschenoegst , die broeder , bar en wreed Elkaâr doen dood , eer zy hem verwoed bespringen . wie sluiten de draak zyn bek , die drie gesplitste tong en zo veel reegel van tand en kies hebben , noch dik van groen gal en heten vergif bekladden , daar 't bloedig mensch vleesch by spier in bleefhangen , zijn het Jazons sabel ? neen : ik komen dat schrikdier prang . ondankbere , gy zullen met uw Bywyf bloên . de wraak moeten blind zyn of zy zijn te laf in het woên ."
19,hoe ! staan gy naar de dood van die uw hart doorgrieven ?
20,"de hartstocht van de wraak zijn sterk dan de liefde , Zy moeten door geweld , of kunst verwonnen zyn . de wraak gebruiken of strop of sabel of fenyn . drie tooneel . HOu stant , wie dat gy zyt , of het kosten u daad'lyk het leeven . ik willen , in tegen willen van u , te Hof instreeven ."
21,zo gy my naad'ren durven ontmoeten ik u met kracht .
22,ik willen dat aanstonds worden verpletten dit boos geslacht .
23,"uw wond'ren zyn te kleen , of hebben gy meêr vermoogen ?"
24,"ik zullen meêr wonder maar tot uw schaâ vertooog , Gy zullen voortaan , gelyk een rots , hier blyven staan . een ander spiegel zich hoe u dit zijn vergaan . Deez ' Roê hebben kracht om u tot hard steen te scheppen ."
25,"helaas ! och , wat zijn dit ? ik weten my niet te reppen , Myn lid worden hard . ik zullen my aan u wree ...."
26,"uw wreeken zijn vergeefs , ik maken uw kracht gedwee . blyf hier op schildwacht staan , om and'ren uit te houwen ."
27,"herschep myn Wachtbroêr , of ik zweren het zullen u rouwen ."
28,het zullen my rouwen zo ik u niet voort betoom .
29,ik schrikken niet meêr voor u dan voor een eikeboom .
30,veranderen in een Eik voor uw vermeetelheid .
31,ik voelen myn lichchaam van een hard schorsen bekleeden ; Myn arm zyn alreê in telg vol van blaâ ....
32,"al wie Medea hoond vervallen in ongenaâ . wykt , trouw dienaar , wykt , of ik zullen u bezweeren ."
33,"mevrouw , ik horen gerucht , ik bidden u , laten ons keeren ."
34,hoe ! keeren zonder wraak ? het zullen zo niet overgaan ....
35,"Myn dochter , schuil , ei , schuil !"
36,"wie vrees hebben mogen wel gaan . o schrand're veinzery ! pylaar de wyste Staaten , o hart in gal deursult ! en mond vol honingraaten ! bestier myn bitt're tong en geven ze een zoet klank ; maken dat ik jazon smeken met een sireene zank . hoe ! zijn het geen lafheid ? neen ! de wysheid komen my raaden . o eed'le dapperheid ! hullen met lauwerblaaad , die u in het harrenas op het Dagtooneel laten zien , vergeven myn veinzery , de nood komen my gebiên ."
37,vier tooneel .
38,"toen ik het Gulde Vlies te Kolchos hebben gekreegen , zijn heel Thessalien hovaardig op de zegen : maar nu ik u verkryg zijn de eer van 't Vlies verdoven . een schoon en wyze Maagd worden nooit te hoog geloven . uw gaaaf blinken meêr dan duizend gulde Vliezen ."
39,"uw Faam , die in geen eeuw haar luisteren zullen verliezen , alwaarde Bruidegom , zijn prikkel van myn min : maar uw Kreüza vrezen ."
40,"wat vrezen , myn koningin ?"
41,' Myn boezem barsten van spyt : de wraak deurkruipen myn aad'ren .
42,wie komen hier op ons aan ?
43,ik zien Medea naad'ren .
44,ik zullen myn blank kling rood verwennen in haar bloed .
45,"Kreüza , schoone bruid , prins Jazon , vol van moed , de groote Juno moeten u in haar kerk ontfangen . nooit moeten de droevig Uil uw oor met lykgezang , op 't echt ledekant , verstoor uw rust . uw Bruiloftstoorts zy nooit in traaan uitgebluscht . ik wensch u , in uw trouw , een stroom van al zeeg'nen ."
46,"ik , dat u deze dag mogen al ramp bejeeg'nen ."
47,ik wensch het vorst'lyk Huis een onverwrikb're stand .
48,"ik wensch om u tot asch , eerlang , te zien verbranden ."
49,ik wensch dat uw zaad nooit sterven door overval van moord .
50,"vertrek , ik zeggen vertrek , uit Kreons Stad en oord ."
51,"ik zullen niet roemen dat gy 't Vlies door my genieten . ik klagen ook niet dat gy my , om Kreüz ' , verstoot . ik hebben geen deel aan u , myn voorrecht zijn vervallen . ik zoeken slechts voor een nacht huisvesting in uw wal ."
52,"uw mond zijn vol van zoet , uw boezem vol fenyn ."
53,"ach ! Jazon , laten dit Hof een nacht myn huisvesten zyn . wie vreemdeling bergen kunnen vyanden beweegen . een Ryk , dat gastvry zijn , verkrygen de ryk zegen . een zegenryk gewest behoud een vast stand . ontzeggen gy Ballingen te bergen in uw Land ?"
54,een broedermoorster lyd men in geen Hofgebouwen .
55,ik hebben myn Broêr alleen verdelgen om u te trouwen . oprecht liefde toond zich onverzagen van aard . een bruidegom zijn meêr dan duizend Broeders waard .
56,o veinzende gedrogt ! die elk in list doen zwichten .
57,"o schitterend zon ! wie straalen het al verlichten , die , door uw licht , doed zien wat diep verbergen leiden , u roepen ik tot getuig van myn oprechtigheid : Gy weten dat deze borst geen veinzery kunnen zetten : gedoog ook niet , ô zon ! dat zy my komen besmetten ; ik haten haar dubbelheid , die kwaalyk zijn te ontgaan ."
58,"waarom zijn Pelias , gelyk uw Broêr , verraân ?"
59,Zyn dochter hebben hem in het laauwe bloed doen baaden .
60,"Gy hebben haar , door uw raad , te schandelyk verraden ; want gy beloven ' hem jong te vorm na het bloên . geen snooder kwaad dan kwaad in schyn van deugd te doen . wie raad tot moord geest hebben de een moord bedreeven ; want hy hebben met zyn willen de steek in 't hart gegeeven eer dat de Moorder 't zwaard gesleepen hebben op 't hart . het werktuig zijn veel min dan de oorzaak van de smart . begeven u naar het noord met uw gehaate vinden ."
61,"de Faam hebben duizendmaal met duizend koop're mond , in 't Noord geblaazen 't lof de deugd van Griekenland , Dies laten my hier in 't West , daar gy de kroon in spand , de deugd de Grieken zien die wy in 't Noorden hooren . de waarheid weten men eer door de ooog dan door de oor . het zien hebben groot kracht dan het zeggen van de Faam . zijn uw genadigheid zo groot , gelyk uw naam , dan zullen gy my , geloven ik vast , niet laaten dwaalen , het zijn prinsselyk zyn magt in 't straf te bepaalen ."
62,noch Prinsselyker dat men het Ryk voor kwaân behoeden .
63,een prins die oordeel hebben betoond zich zacht van moed .
64,wie veilig heerschen willen moeten wys en wakke weezen .
65,een wapenlooze vrouw behoeven men niet te vreezen .
66,"Medea , terg my niet ."
67,Vergun my toch een beê .
68,"wat zijn 't verzoek ? zeggen op , eer ik na het autaar treê ."
69,"dat gy myn zoon , eer ik vertrek , aan my doen geeven . de zucht tot eigen Zaad kunnen niemand tegenstreeven . zelf in geen ongediert , dat redelykheid ontbreken . de Kind'ren worden van de moeder best kweken . de vaderlyke zorg bestaan in hoofsch zaaak wie volk beheerschen moeten kunnen voor geen kind'ren waaken . het Hof vereischt een man die buiten huiszorg gaan . dies bidden ik u , ô prins ! om myn verleeën staan , ach ! om uw Stamhuis , dat nooit bystand plag te weig'ren en om uw daaad , die steil door de star steig'ren , dat gy myn beê verhoren , eer ik dit ryk verlaten ."
70,"verwachten van my geen zoon : want gy zoud hen , tot smaad , doen zitten op uw koets , om hun van vlug draaak ; Terwyl zy vuur en vlam te keel en snuit uitbraaken , in 't Noord te brengen , waar dat Taurus zich vertonen : want dit haten gebergen , van ongediert bewonen , zijn 't school van Toveraars en jong toveres , hier zullen zy , door kracht van uw toverlessen , met Wolven , Tygeren , met Leeuwen , scherp van tand , en Beeren speelen , en hun balg met ingewand , met etter en vuil bloed van rot lyken vullen : elk zullen zich met een pruik van zwart slang hul , en wind , Stroomen , Zeên doen luist'ren naar hun wet . My dunken ik zien hen al bekladden van brein en vet , behangen met een kleed van raauwe mensch huid , en van een darm omgorden , vullen met toverkruiden , om , als het zonlicht zinken in Thetis Zeespelonk , heel naar te toeten op een mergelooze schenken : Zy zullen , in de nacht , by Putten , graaf , galg , schavot , Mikken , Raân , en al wat ons doen walgen , een snoode bevaaren doen , tot schrik van het aardsch geslaggen . de Kind'ren die gy eischt zyn dier van my geächt ."
71,"ik bidden , bewegen de prins , dat ik myn zoon mogen houwen ."
72,"ik hebben myn harteleed , o boost ' van al vrouw ! tot barstens toe verkroppen , om uw redenstryd : ik zijn getergen , getreên , en overvol van spyt : zullen ik u helpen ? neen ! ik zoeken u fel te hoonen ."
73,"uw deugd , geest en glans , elk waardig om te kroonen , Zyn starker dan de kracht van het allergrootst geweld : Gy hebben , prins Jazon zelfs , die zeêgbaar oorlogsheld , die dol stier , draak , en Krygsvolk kunnen verpletten , door uw kracht , stip doen luist'ren naar uw wet : maar dit ontbreken uw kracht , hoe krachtig dat gy zyt , dat gy my noch door smaad , noch bitterheid , noch spyt Kund hoonen , want ik willen uw hoôn gewillig draagen , 'k willen elk mishaag als ik u slegts kunnen behaagen . Span al uw kracht t'zaam , en na my met pyn , Gy zullen veel eer vermoeid van my te straf zyn , dan ik door last van het Juk , dat gy myn nek doed draagen . wie alles lyden kunnen zijn starker dan de plaag . de last zyn my licht zo ik u dienst kunnen doen ."
74,"het zijn tyd , ja over tyd om u naar 't Noord te spoên ."
75,geven Jazons zoon toch meê zo zullen ik noord waar keeren .
76,"hoe ! Jazons Zoonen ? neen , neen ! dochter van Megeere , de wrê Cerbrus , die de nooitverzaadb're Poort Van het duistre Ryk bewaren , hebben u in Plutoos oord Bezwangerd , op dat gy twe Gruuw'len voort zoud brengen ; dit noemd gy Jazons zoon , de spyt willen het niet gehengen . het zijn wonder dat de prins uw lip niet bedwingen ."
77,"' o Veinzery ! gedoog dat ik haar bitt're tong , ' met een verwoed hand , uit haaar keel mogen ryten , ' ik zalze Jazon , rood van bloed , in 't aanzicht smyten ; ' ja spyk'ren voor zyn mond , zo kunnen myn wraak bestaan ."
78,wat spreken gy aan een zy ?
79,"dat ik u hebben misdoen door 't lastig bidden , om myn Zoonen weêr te krygen . de redelykheid gebied , dat ik voor u moeten zwygen ; maar , och ! natuur gebied dat ik myn zoon hier wensch . het voorrecht van Natuur zijn starker dan de mensch . de zucht tot kind zijn van natuur gekoomen . noch zullen ik myn natuur , om dat gy het willen , betoomen : ik willen al wat gy willen : want gy willen niet dan goed ; of dunken my kwaad te zien in het pit van uw gemoed , zo zullen ik myn gezicht noch oordeel niet betrouwen ; en zijn het zeker dat men u voor kwaad moeten houwen , zo zullen ik my nochtans heel voegen naar uw willen ."
80,ik vervloek uw veinzery .
81,"medé , zwyg vaardig stil ."
82,"ik zullen stilzwygen om uw oor niet te krenken ; maar ik zullen dag en nacht niet anders doen dan denken : prins Jazon hebben groot recht dat hy my bitter haat ; Kreüza hebben groot recht dat zy my dreigd met smaad , om dat ik hem en haar verhinder door myn klaag : dit denken , hopen ik , zullen uw oor niet mishaagen . het denken staan elk vry in 't Hof van een tieran ; maar zo het denken u in 't weinig verletten kunnen , zullen ik myn denken in het vergetelnat versmooren , en zyn gelyk ik zijn eer dat ik worden gebooren , ja worden dat ik zijn eer dat ik worden telen . wat eischt gy meêr van my ?"
83,dat gy my niet vervelen .
84,zien wie hier knielden en bidden .
85,uw tong hebben geen vermooog .
86,"zo zullen ik het heele lyfveranderen in ooog , en storten beeken , vloên , ja golleven , en zeên Van traanen , om uw hart van marmer , week te kneên , en 't vuur te blusschen dat de gramschap hebben ontsteeken ."
87,"laten los , ik zeggen , laten los !"
88,Laat my niet lang smeeken .
89,uw kind'ren worden van myn Kamerwacht bewaren .
90,"ik zullen ze haalen : want ik wyk hier voor geen zwaard . noch voor geen hekel van wachtspiets , wreed in het schennen , ik zullen ' er met myn borst , vol moed , op aan gaan rennen , en sterven ik door 't geweer , zo weten ik dat myn bloed Myn ooog luik zullen ."
91,hoe zyt gy dus verwoed ?
92,"waar zyn myn kind , waar zyn zy ? in wat hoek ?"
93,"een zaak hebben ik aan u , ô Jazon ! te verzoeken ."
94,gy mogen gebied . die laten hooren wat gy eischt .
95,"maken dat Medea met haar zoon naar het Noorde reizen , zo zullen de twist zich nooit naa ons drempel wenden . stiefkind'ren weeten man en vrouw aan een te schenden . twedrachtigheid in Trouw zijn wreeder dan de dood . ik zweren u andermaal , zo gy haar t'zaam verstoot , dat gy ons huuwelyk met nektar zullen verëeren ."
96,"ik zweren nu dat gy zweren , om niet te laf te zweeren , By 't duister Styx , ik zweer by het flibb'rig Acheron , By 't bloedig Kocyt , en het gloeijend Flegeton , dat ik uw willen zullen doen ."
97,hoe zullen ik u bedanken ?
98,"verwachten uw kind in het bosch van popelrank . Wy gaan naar het Echtautaar . komen , oorzaak van myn vuur . Vyfde tooneel ."
99,"zal dit de trouw uur zyn ? ô driemaal heiloos uur ! zullen 't een trouw verbinden voor 't laat moeten zwichten ? o Huuwelyks Voogdes ! waar zyn , waar zyn uw schicht of zijn het vuur uw wraaks voor deze twee te koel ? zo zullen ik het gruuwzaam vuur uit Plutoos Jammerpoel Verwoed doen steig'ren , tot schrik van Kreons Muuren . barsten aarde ; barst van een , en braak de fel vuuren , daar gy het booze Volk al zaamen meê bestryd , op deeze twee alleen , nu zijn het de recht tyd : zo hy het ontslippen zo moeten Krëuz ' myn gramschap peijen . hoe ! zullen hy lachchen , en Medea , deerlyk schreijen ? neen ! dat gedoog ik niet , dat waar te groot een pyn ! zullen zy staâg zingen , en ik staâg aan 't zuchten zyn ? neen ! het zullen de slaatschen mensch op het allerheet vertoornen . zullen hy langs Roozen gaan , en ik langs scherp doorn ? neen ! een die magt hebben staat naar wraak door loos beleid . zullen zy vol vreugde zyn , en ik vol droevigheid ? neen ! want de spyt komen my op het wreed tot wraak aan maaan . zál zy wyn plengen , en Medeäas ooog traaan ? neen ! want ik zullen haar noch voor nacht in 't graf doen gaan . zo dit niet vast kunnen staan , zullen ik noch meêr bestaan ; ik zullen Proserpina in Acheron opzoeken , en dringen door 't gedrang de geest , Spooken , vloeken , en al gruuweel , en bidden haar om raad : nooit komen hem hulp te laten die zich op haar verlaten ."
100,wie helpen my uit myn angst ?
101,"ik hebben myn wraak genoomen . van hem . ik willen , dat gy ; als een sater , hier zullen koomen . vertrek uit myn gezicht . 'k willen dat gy voort verzinken , en in een droef zee van jammeren verdrinken . nu zullen zy myn kracht aan Jazon niet ontdekken ; mgen ik myn kunst aan hem en zyn Kreüz ' voltrekken , ik stellen my te werk ; maar 't noodlot tonen hen gunst . het noodlot laten zich niet verzetten van de Konst . waar blyft de vlug boô , die op myn wenk moeten passen ? komen , nemen my vaardig op , ik moeten dit paar verrassen , Breng my in Plutoos Ryk , zo klimmen myn wraak in top . Voort , snel nachtboô , voort , voort nemen my vaardig op ."
102,"Twede bedryf . een vertooning voor het twede Bedryf . PRins Jazon , met zyn volk , door onweêr aan de strand , Van vrouw Hypsyphile , komen daar gelukkig land : Zy heten hem wellekom uit de ongestuime Zee , ontfangen hem vrind'lyk , met zyn held , op haar Ree , en worden , uit liefde , met zyn ongeval bewoogen ; Terwyle zuigen hy vast de vonk uit haaar ooog , zich zelve voelen van zulk een vuur vermanden , geven hy zyn hart haar met het geeven van zyn hand . twede vertooning voor het twede Bedryf . hoe ver de spyt en wrok vervoeren gehoonde vrouw , zullen deez ' vertooning klaar de Volkeren ontvouwen . staatzuchtig amazoon , in byst'ren overmoed . doen man en Slaaf , en kind , hier went'len in hun bloed . vergrammen Hypsiphile , door wraaklust aangedreeven , staat onversaagd , in het spits , naar Jazons dierbaar leeven . Zy , een verlaatene , vol wanhoop , druk en smart , vertoonden hier in een vrouw een dapper mannehart ; en zullen , al zullen zy slaan , gezach , en leeven derven , niet rusten voor zy zijn wroeken door zyn sterven . men leer ' , men kenn ' hier uit , wat onheil al geschieden , wanneer een vrouw haar man dus buitenspoorig zien . een tooneel ."
103,"o vrouw , groot van roem ! ja meêr dan dapp're man , die uw tent voor Korinthen hebben gespannen , om u te wreeken aan prins Jazons trouwloosheên , nu zijn het de recht tyd om hem op 't hart te treên : laten ons niet minder zyn dan strydbaaar amezoonen , die zich in het Oorlogsveld met speer en buigen vertoonen , om haaar vyand te dompelen in 't bloed . een zaamgespanne magtbestaat in fier moed . de fier moedigheid zijn moeder van de zeege . hebben gy de man , door de punt van uw deegen , na dat zy zich , tot spyt van u , vermengen met uitheemsch vrouw , op ons wettig huuw'lyksbed , doen baaad in hun bloed , hier zyn de zelfde reden . ik zullen gewapend naar de wal van Kreon treeden , en eisschen Jazon , eer hy met Kreüza paard : ontzeid hy myn verzoek zo moeten wy , door 't zwaard , de wal in de yl op het allerfel bestryden . een overwoogen wraak kunnen kwaalyk uitstel lyden . komen , priesteres van het Heir , bevorderen ons zaak : Wy knielen voor het autaar van de onverzoenb're wraak . uw zang , met spel doormengen , baard dapper heldin ."
104,"o Nemezis ! het heul van al die wraak beminnen . o onvezoenberste ! die staâg in raadhuis , Hof en Tempels toegang hebben , ontsteken ons offerstof ; waar dat uw vuur verschynt begeren met kracht te toonen . de Dieren die de Lucht , de Zee en aard bewoonen , gevoelen , als haar leed ontmoeten , uw vuurigheên . Gy schend de kind , en ouder tegen een , en mengd de Zee en aard met vrindebloed en traaan : Ontsteek het gewyde hout , laten ons niet lang maanen . wie iet door smeek krygen betalen eer hy verkrygt ."
105,ik danken de wraak nu dat de vlam reeds opwaards stygen .
106,"waar zijn het bloed van 't kind , dat gy , in spyt van het karmen , de moeder , van haar borst , en uit de klem van de arm rukken hebben ? geven het hier ; voort , vorder ons gebod : ik hebben het met dit mes de knobbelig strot Geopend , om het bloed tot weêrwraak in te zwelgen ."
107,O wraak ! ik vangen dit nat : het zap van Bacchus telg behagen my minder dan de smaak van het grieksch bloed .
108,"men drinken het lustig in , om , met een hart vol moed , Terwyl het de tyd gebied , naar 't wreede kwaad te streeven ."
109,"Voort zweren op myn geweer , tot voorstand van het leeven , dat gy uw koningin zullen redden uit de nood ."
110,"Wy zweeren haar met magt , in 't aanzien van de dood , te volgen of de wraak moeten ons hoofd plaagen ."
111,"wie zweren , en de eed vergeten , zullen al ramp draag . de Wraakvoogdes zijn streng in het pleegen van haar recht . elk maken zich vaardig tot een zegenbaar gevecht ."
112,"gelyk gy my dit vuur , o luisteren de prinses ! door 't overschot van 't bloed , op het wraakautaar zien les , moeten gy de het van uw wraak , door Jazons bloed , Uitblusschen ; want de wraak zijn niet dan enk'le gloed ."
113,het leger zijn gereed om Lemnos troon te stutten . Twede tooneel .
114,"wat onheil zien ik hier ? de wal zyn van hut en oorlogsvolk omheinen : ik vrezen voor slinks geval : op , Krygsvolk ! krygsvolk , op ! bezetten de leege wal . de wal zyn niet dan door wapen te bewaaren . drie tooneel ."
115,wie roepen hier dus verbazen ?
116,"ik zien geheele schaaren van vrouw naderen , met sceeren in haar hand ."
117,"indien het vrouw zyn zo koomen zy van 't land , tot eer van ons trouw ."
118,ik zien haar ooog blaaken .
119,wie met vorstin trouwen zullen niet dan heil genaaken .
120,"Zy naad'ren , vol van moed : ik bidden u , komen om hoog ."
121,"Voort wapen al de stad op 't onverwacht vertoog . verwaand , treê te rug , of gy verliezen het leeven ."
122,"wie in een stad willen zyn , ontzien geen tegenstreeven ."
123,"wat zoeken gy voor Korint , of zijn u 't brein ontroven ?"
124,"Wy eisschen , en het hebben recht , prins Jazon of zyn hoofd ."
125,prins Jazon ! of zyn hoofd ! wie durven dus vinnig spreeken ?
126,"Wy zyn geharrenast om ons aan u te wreeken . ik hebben myn stander voor Vorst Kreons wal planten , om u de taaij huid , met een verwoed hand , al leevendig van 't vlees , vol heiloosheid , te stroopen ; dan zullen ik ze uw Kreüs , in dartelheid verzoopen , om het lyf doen hangen , in de plaats van praalgewaad : ik zullen haar hals en borst , voor dierbaar bruidssieraad , op het schrikkelyk ' pronken met uw uitrukken darm : Myn Heir zullen vrolyk zyn als zy om u zullen karmen , ja lachchen als zy weend , en zingen als zy zucht . een die zyn vyand temdmen , bevinden zich vol genucht . noch weten dit wreed bedryf myn wraak lusten niet te stillen ; ik zullen de spier van uw groove schenken schillen , en maaak van het geramen een zetel voor uw bruid , Wy zullen het middelrift , met ons tand , uit uw boezem scheuren , om haar balg hier meê te vullen . dan zullen ik , schrikken gy niet ? al zullen het alles brullen , uw bloed vergaderen , en in uw herssen vat al bruizen schenken niet om dit gehaaten nat met smaak te zwelgen ; neen ! wy walgen van die vliet ; ik zullen het uw bruid door haaar keel in gieten , zo zullen zy proeven wat zich in uw hart verbergen ."
127,wat zyt gy voor een vrouw dat gy de man tergen ?
128,"ik zijn de nicht van die de reus hebben doen vallen ; die met zyn staatcykoets , om zegenryk te brallen , Van Panters , Tygers , Beer , en Leeuwen , scherp van tand , Wierd door 't gewelf voeren , daar hy zyn zetel plant , op een turkooize vloer , vol vuuren die staâg blaaken ; of daverden dit te dof , om my bekend te maaken ? ik , ik zijn Bacchus nicht ; nu weten gy wie hier staan ."
129,"dat gy van Bacchus komen , betoond gy met de daad , want uw herssens zyn verzoopen in zyn oesten ."
130,Gy geven my stof om het ryk van Kreon te verwoesten .
131,"Voort , zeggen my uw naam , eer 't staal uw borst doorstoot ."
132,"Gy zien Hypsipyle , wel eren uw bedgenoot . ik zijn , in spyt de zee , van Lemnos hier gekoomen : een die zich wreeken willen , ontzien noch wind , noch stroomen , noch het slagz waard van de moord ."
